forecast_date,product_id,forecast_demand,model_used
2018-01-26,P04,1474,Holt-Winters
2018-01-27,P04,1473,Holt-Winters
2018-01-28,P04,1480,Holt-Winters
2018-01-01,P05,1086,Holt-Winters
2018-01-02,P05,1087,Holt-Winters
2018-01-03,P05,1089,Holt-Winters
2018-01-04,P05,1092,Holt-Winters
2018-01-05,P05,1095,Holt-Winters
2018-01-06,P05,1099,Holt-Winters
2018-01-07,P05,1097,Holt-Winters
2018-01-08,P05,1102,Holt-Winters
2018-01-09,P05,1102,Holt-Winters
2018-01-10,P05,1104,Holt-Winters
2018-01-11,P05,1108,Holt-Winters
2018-01-12,P05,1111,Holt-Winters
2018-01-13,P05,1115,Holt-Winters
2018-01-14,P05,1113,Holt-Winters
2018-01-15,P05,1117,Holt-Winters
2018-01-16,P05,1118,Holt-Winters
2018-01-17,P05,1120,Holt-Winters
2018-01-18,P05,1124,Holt-Winters
2018-01-19,P05,1127,Holt-Winters
2018-01-20,P05,1131,Holt-Winters
2018-01-21,P05,1129,Holt-Winters
2018-01-22,P05,1133,Holt-Winters
2018-01-23,P05,1134,Holt-Winters
2018-01-24,P05,1136,Holt-Winters
2018-01-25,P05,1140,Holt-Winters
2018-01-26,P05,1143,Holt-Winters
2018-01-27,P05,1147,Holt-Winters
2018-01-28,P05,1145,Holt-Winters
