forecast_date,product_id,forecast_demand,model_used,run_id
2018-01-16,P02,464,Holt-Winters,RUN-20260926-278d95
2018-01-17,P02,479,Holt-Winters,RUN-20260926-278d95
2018-01-18,P02,510,Holt-Winters,RUN-20260926-278d95
2018-01-19,P02,540,Holt-Winters,RUN-20260926-278d95
2018-01-20,P02,571,Holt-Winters,RUN-20260926-278d95
2018-01-21,P02,605,Holt-Winters,RUN-20260926-278d95
2018-01-22,P02,398,Holt-Winters,RUN-20260926-278d95
2018-01-23,P02,465,Holt-Winters,RUN-20260926-278d95
2018-01-24,P02,480,Holt-Winters,RUN-20260926-278d95
2018-01-25,P02,510,Holt-Winters,RUN-20260926-278d95
2018-01-26,P02,540,Holt-Winters,RUN-20260926-278d95
2018-01-27,P02,572,Holt-Winters,RUN-20260926-278d95
2018-01-28,P02,606,Holt-Winters,RUN-20260926-278d95
2018-01-01,P03,256,LightGBM,RUN-20260926-278d95
2018-01-02,P03,271,LightGBM,RUN-20260926-278d95
2018-01-03,P03,286,LightGBM,RUN-20260926-278d95
2018-01-04,P03,294,LightGBM,RUN-20260926-278d95
2018-01-05,P03,325,LightGBM,RUN-20260926-278d95
2018-01-06,P03,340,LightGBM,RUN-20260926-278d95
2018-01-07,P03,368,LightGBM,RUN-20260926-278d95
2018-01-08,P03,248,LightGBM,RUN-20260926-278d95
2018-01-09,P03,273,LightGBM,RUN-20260926-278d95
2018-01-10,P03,288,LightGBM,RUN-20260926-278d95
2018-01-11,P03,301,LightGBM,RUN-20260926-278d95
2018-01-12,P03,314,LightGBM,RUN-20260926-278d95
2018-01-13,P03,332,LightGBM,RUN-20260926-278d95
2018-01-14,P03,370,LightGBM,RUN-20260926-278d95
2018-01-15,P03,259,LightGBM,RUN-20260926-278d95
2018-01-16,P03,272,LightGBM,RUN-20260926-278d95
2018-01-17,P03,289,LightGBM,RUN-20260926-278d95
2018-01-18,P03,297,LightGBM,RUN-20260926-278d95
2018-01-19,P03,310,LightGBM,RUN-20260926-278d95
2018-01-20,P03,322,LightGBM,RUN-20260926-278d95
2018-01-21,P03,357,LightGBM,RUN-20260926-278d95
2018-01-22,P03,249,LightGBM,RUN-20260926-278d95
2018-01-23,P03,276,LightGBM,RUN-20260926-278d95
2018-01-24,P03,288,LightGBM,RUN-20260926-278d95
2018-01-25,P03,308,LightGBM,RUN-20260926-278d95
2018-01-26,P03,311,LightGBM,RUN-20260926-278d95
2018-01-27,P03,316,LightGBM,RUN-20260926-278d95
2018-01-28,P03,368,LightGBM,RUN-20260926-278d95
2018-01-01,P04,141,LightGBM,RUN-20260926-278d95
2018-01-02,P04,162,LightGBM,RUN-20260926-278d95
2018-01-03,P04,170,LightGBM,RUN-20260926-278d95
2018-01-04,P04,191,LightGBM,RUN-20260926-278d95
2018-01-05,P04,204,LightGBM,RUN-20260926-278d95
2018-01-06,P04,210,LightGBM,RUN-20260926-278d95
2018-01-07,P04,224,LightGBM,RUN-20260926-278d95
2018-01-08,P04,141,LightGBM,RUN-20260926-278d95
2018-01-09,P04,165,LightGBM,RUN-20260926-278d95
2018-01-10,P04,169,LightGBM,RUN-20260926-278d95
2018-01-11,P04,195,LightGBM,RUN-20260926-278d95
2018-01-12,P04,197,LightGBM,RUN-20260926-278d95
2018-01-13,P04,209,LightGBM,RUN-20260926-278d95
2018-01-14,P04,227,LightGBM,RUN-20260926-278d95
2018-01-15,P04,140,LightGBM,RUN-20260926-278d95
2018-01-16,P04,170,LightGBM,RUN-20260926-278d95
2018-01-17,P04,174,LightGBM,RUN-20260926-278d95
2018-01-18,P04,198,LightGBM,RUN-20260926-278d95
2018-01-19,P04,205,LightGBM,RUN-20260926-278d95
2018-01-20,P04,211,LightGBM,RUN-20260926-278d95
2018-01-21,P04,225,LightGBM,RUN-20260926-278d95
2018-01-22,P04,140,LightGBM,RUN-20260926-278d95
2018-01-23,P04,170,LightGBM,RUN-20260926-278d95
2018-01-24,P04,179,LightGBM,RUN-20260926-278d95
2018-01-25,P04,198,LightGBM,RUN-20260926-278d95
2018-01-26,P04,203,LightGBM,RUN-20260926-278d95
2018-01-27,P04,211,LightGBM,RUN-20260926-278d95
2018-01-28,P04,232,LightGBM,RUN-20260926-278d95
2018-01-01,P05,117,LightGBM,RUN-20260926-278d95
2018-01-02,P05,144,LightGBM,RUN-20260926-278d95
2018-01-03,P05,142,LightGBM,RUN-20260926-278d95
2018-01-04,P05,165,LightGBM,RUN-20260926-278d95
2018-01-05,P05,161,LightGBM,RUN-20260926-278d95
2018-01-06,P05,180,LightGBM,RUN-20260926-278d95
2018-01-07,P05,194,LightGBM,RUN-20260926-278d95
2018-01-08,P05,117,LightGBM,RUN-20260926-278d95
2018-01-09,P05,144,LightGBM,RUN-20260926-278d95
2018-01-10,P05,148,LightGBM,RUN-20260926-278d95
2018-01-11,P05,161,LightGBM,RUN-20260926-278d95
2018-01-12,P05,170,LightGBM,RUN-20260926-278d95
2018-01-13,P05,181,LightGBM,RUN-20260926-278d95
2018-01-14,P05,192,LightGBM,RUN-20260926-278d95
2018-01-15,P05,117,LightGBM,RUN-20260926-278d95
2018-01-16,P05,143,LightGBM,RUN-20260926-278d95
2018-01-17,P05,143,LightGBM,RUN-20260926-278d95
2018-01-18,P05,165,LightGBM,RUN-20260926-278d95
2018-01-19,P05,168,LightGBM,RUN-20260926-278d95
2018-01-20,P05,181,LightGBM,RUN-20260926-278d95
2018-01-21,P05,195,LightGBM,RUN-20260926-278d95
2018-01-22,P05,117,LightGBM,RUN-20260926-278d95
2018-01-23,P05,145,LightGBM,RUN-20260926-278d95
2018-01-24,P05,150,LightGBM,RUN-20260926-278d95
2018-01-25,P05,160,LightGBM,RUN-20260926-278d95
2018-01-26,P05,174,LightGBM,RUN-20260926-278d95
2018-01-27,P05,182,LightGBM,RUN-20260926-278d95
2018-01-28,P05,195,LightGBM,RUN-20260926-278d95
