date,store,item,sales
2017-01-06,7,4,94
2017-01-06,7,5,72
2017-01-06,8,1,75
2017-01-06,8,2,146
2017-01-06,8,3,131
2017-01-06,8,4,89
2017-01-06,8,5,72
2017-01-06,9,1,80
2017-01-06,9,2,149
2017-01-06,9,3,128
2017-01-06,9,4,85
2017-01-06,9,5,81
2017-01-06,10,1,81
2017-01-06,10,2,157
2017-01-06,10,3,128
2017-01-06,10,4,91
2017-01-06,10,5,74
2017-01-07,1,1,81
2017-01-07,1,2,150
2017-01-07,1,3,112
2017-01-07,1,4,98
2017-01-07,1,5,77
2017-01-07,2,1,75
2017-01-07,2,2,140
2017-01-07,2,3,109
2017-01-07,2,4,95
2017-01-07,2,5,73
2017-01-07,3,1,78
2017-01-07,3,2,153
2017-01-07,3,3,118
2017-01-07,3,4,93
2017-01-07,3,5,76
2017-01-07,4,1,80
2017-01-07,4,2,143
2017-01-07,4,3,117
2017-01-07,4,4,94
2017-01-07,4,5,72
2017-01-07,5,1,87
2017-01-07,5,2,162
2017-01-07,5,3,124
2017-01-07,5,4,98
2017-01-07,5,5,79
2017-01-07,6,1,78
2017-01-07,6,2,152
2017-01-07,6,3,131
2017-01-07,6,4,88
2017-01-07,6,5,71
2017-01-07,7,1,75
2017-01-07,7,2,150
2017-01-07,7,3,116
2017-01-07,7,4,99
2017-01-07,7,5,77
2017-01-07,8,1,86
2017-01-07,8,2,149
2017-01-07,8,3,115
2017-01-07,8,4,84
2017-01-07,8,5,71
2017-01-07,9,1,82
2017-01-07,9,2,153
2017-01-07,9,3,124
2017-01-07,9,4,83
2017-01-07,9,5,76
2017-01-07,10,1,76
2017-01-07,10,2,153
2017-01-07,10,3,123
2017-01-07,10,4,85
2017-01-07,10,5,81
2017-01-08,1,1,93
2017-01-08,1,2,155
2017-01-08,1,3,120
2017-01-08,1,4,89
2017-01-08,1,5,75
2017-01-08,2,1,77
2017-01-08,2,2,152
2017-01-08,2,3,115
2017-01-08,2,4,81
2017-01-08,2,5,77
2017-01-08,3,1,81
2017-01-08,3,2,148
2017-01-08,3,3,114
2017-01-08,3,4,92
2017-01-08,3,5,71
2017-01-08,4,1,80
2017-01-08,4,2,160
2017-01-08,4,3,124
2017-01-08,4,4,84
2017-01-08,4,5,69
2017-01-08,5,1,82
2017-01-08,5,2,144
2017-01-08,5,3,111
2017-01-08,5,4,94
2017-01-08,5,5,77
2017-01-08,6,1,83
2017-01-08,6,2,152
2017-01-08,6,3,121
2017-01-08,6,4,88
2017-01-08,6,5,78
2017-01-08,7,1,89
2017-01-08,7,2,148
2017-01-08,7,3,116
2017-01-08,7,4,85
2017-01-08,7,5,72
2017-01-08,8,1,82
2017-01-08,8,2,140
2017-01-08,8,3,123
2017-01-08,8,4,94
2017-01-08,8,5,67
2017-01-08,9,1,76
2017-01-08,9,2,151
2017-01-08,9,3,120
2017-01-08,9,4,93
2017-01-08,9,5,75
2017-01-08,10,1,87
2017-01-08,10,2,149
2017-01-08,10,3,116
2017-01-08,10,4,86
2017-01-08,10,5,80
2017-01-09,1,1,81
2017-01-09,1,2,154
2017-01-09,1,3,124
2017-01-09,1,4,81
2017-01-09,1,5,70
2017-01-09,2,1,76
2017-01-09,2,2,147
2017-01-09,2,3,119
2017-01-09,2,4,96
2017-01-09,2,5,82
2017-01-09,3,1,80
2017-01-09,3,2,150
2017-01-09,3,3,118
2017-01-09,3,4,91
2017-01-09,3,5,77
2017-01-09,4,1,85
2017-01-09,4,2,155
2017-01-09,4,3,110
2017-01-09,4,4,90
2017-01-09,4,5,83
2017-01-09,5,1,79
2017-01-09,5,2,157
2017-01-09,5,3,120
2017-01-09,5,4,92
2017-01-09,5,5,70
2017-01-09,6,1,76
2017-01-09,6,2,155
2017-01-09,6,3,125
2017-01-09,6,4,91
2017-01-09,6,5,70
2017-01-09,7,1,81
2017-01-09,7,2,157
2017-01-09,7,3,130
2017-01-09,7,4,89
2017-01-09,7,5,68
2017-01-09,8,1,85
2017-01-09,8,2,150
2017-01-09,8,3,126
2017-01-09,8,4,92
2017-01-09,8,5,72
2017-01-09,9,1,81
2017-01-09,9,2,158
2017-01-09,9,3,120
2017-01-09,9,4,86
2017-01-09,9,5,68
2017-01-09,10,1,77
2017-01-09,10,2,149
2017-01-09,10,3,125
2017-01-09,10,4,85
2017-01-09,10,5,84
2017-01-10,1,1,75
2017-01-10,1,2,163
2017-01-10,1,3,130
2017-01-10,1,4,92
2017-01-10,1,5,68
2017-01-10,2,1,81
2017-01-10,2,2,149
2017-01-10,2,3,115
2017-01-10,2,4,93
2017-01-10,2,5,72
2017-01-10,3,1,78
2017-01-10,3,2,150
2017-01-10,3,3,118
2017-01-10,3,4,102
2017-01-10,3,5,74
2017-01-10,4,1,83
2017-01-10,4,2,152
2017-01-10,4,3,123
2017-01-10,4,4,93
2017-01-10,4,5,81
2017-01-10,5,1,83
2017-01-10,5,2,152
2017-01-10,5,3,122
2017-01-10,5,4,91
2017-01-10,5,5,72
2017-01-10,6,1,81
2017-01-10,6,2,152
2017-01-10,6,3,123
2017-01-10,6,4,92
2017-01-10,6,5,75
2017-01-10,7,1,81
2017-01-10,7,2,148
2017-01-10,7,3,123
2017-01-10,7,4,90
2017-01-10,7,5,77
2017-01-10,8,1,86
2017-01-10,8,2,148
2017-01-10,8,3,124
2017-01-10,8,4,91
2017-01-10,8,5,86
2017-01-10,9,1,80
2017-01-10,9,2,155
2017-01-10,9,3,121
2017-01-10,9,4,84
2017-01-10,9,5,74
2017-01-10,10,1,86
2017-01-10,10,2,149
2017-01-10,10,3,110
2017-01-10,10,4,91
2017-01-10,10,5,71
2017-01-11,1,1,82
2017-01-11,1,2,159
2017-01-11,1,3,125
2017-01-11,1,4,99
2017-01-11,1,5,74
2017-01-11,2,1,81
2017-01-11,2,2,146
2017-01-11,2,3,118
2017-01-11,2,4,87
2017-01-11,2,5,70
2017-01-11,3,1,88
2017-01-11,3,2,141
2017-01-11,3,3,128
2017-01-11,3,4,98
2017-01-11,3,5,79
2017-01-11,4,1,76
2017-01-11,4,2,143
2017-01-11,4,3,119
2017-01-11,4,4,95
2017-01-11,4,5,76
2017-01-11,5,1,76
2017-01-11,5,2,157
2017-01-11,5,3,130
2017-01-11,5,4,90
2017-01-11,5,5,77
2017-01-11,6,1,74
2017-01-11,6,2,149
2017-01-11,6,3,124
2017-01-11,6,4,93
2017-01-11,6,5,74
2017-01-11,7,1,80
2017-01-11,7,2,149
2017-01-11,7,3,120
2017-01-11,7,4,93
2017-01-11,7,5,67
2017-01-11,8,1,81
2017-01-11,8,2,153
2017-01-11,8,3,119
2017-01-11,8,4,89
2017-01-11,8,5,74
2017-01-11,9,1,79
2017-01-11,9,2,151
2017-01-11,9,3,122
2017-01-11,9,4,81
2017-01-11,9,5,80
2017-01-11,10,1,80
2017-01-11,10,2,161
2017-01-11,10,3,115
2017-01-11,10,4,87
2017-01-11,10,5,75
2017-01-12,1,1,84
2017-01-12,1,2,142
2017-01-12,1,3,117
2017-01-12,1,4,95
2017-01-12,1,5,72
2017-01-12,2,1,88
2017-01-12,2,2,149
2017-01-12,2,3,117
2017-01-12,2,4,95
2017-01-12,2,5,85
2017-01-12,3,1,84
2017-01-12,3,2,158
2017-01-12,3,3,130
2017-01-12,3,4,87
2017-01-12,3,5,81
2017-01-12,4,1,74
2017-01-12,4,2,154
2017-01-12,4,3,121
2017-01-12,4,4,98
2017-01-12,4,5,82
2017-01-12,5,1,84
2017-01-12,5,2,153
2017-01-12,5,3,124
2017-01-12,5,4,92
2017-01-12,5,5,76
2017-01-12,6,1,89
2017-01-12,6,2,159
2017-01-12,6,3,121
2017-01-12,6,4,93
2017-01-12,6,5,77
2017-01-12,7,1,73
2017-01-12,7,2,150
2017-01-12,7,3,130
2017-01-12,7,4,88
2017-01-12,7,5,87
2017-01-12,8,1,87
2017-01-12,8,2,154
2017-01-12,8,3,124
2017-01-12,8,4,87
2017-01-12,8,5,75
2017-01-12,9,1,89
2017-01-12,9,2,148
2017-01-12,9,3,127
2017-01-12,9,4,85
2017-01-12,9,5,71
2017-01-12,10,1,91
2017-01-12,10,2,151
2017-01-12,10,3,119
2017-01-12,10,4,98
2017-01-12,10,5,83
2017-01-13,1,1,86
2017-01-13,1,2,149
2017-01-13,1,3,120
2017-01-13,1,4,93
2017-01-13,1,5,80
2017-01-13,2,1,79
2017-01-13,2,2,153
2017-01-13,2,3,123
2017-01-13,2,4,98
2017-01-13,2,5,80
2017-01-13,3,1,74
2017-01-13,3,2,151
2017-01-13,3,3,117
2017-01-13,3,4,95
2017-01-13,3,5,81
2017-01-13,4,1,82
2017-01-13,4,2,150
2017-01-13,4,3,122
2017-01-13,4,4,93
2017-01-13,4,5,74
2017-01-13,5,1,76
2017-01-13,5,2,141
2017-01-13,5,3,128
2017-01-13,5,4,94
2017-01-13,5,5,79
2017-01-13,6,1,88
2017-01-13,6,2,145
2017-01-13,6,3,113
2017-01-13,6,4,94
2017-01-13,6,5,78
2017-01-13,7,1,73
2017-01-13,7,2,154
2017-01-13,7,3,120
2017-01-13,7,4,88
2017-01-13,7,5,75
2017-01-13,8,1,70
2017-01-13,8,2,149
2017-01-13,8,3,118
2017-01-13,8,4,95
2017-01-13,8,5,76
2017-01-13,9,1,85
2017-01-13,9,2,139
2017-01-13,9,3,118
2017-01-13,9,4,94
2017-01-13,9,5,75
2017-01-13,10,1,86
2017-01-13,10,2,143
2017-01-13,10,3,125
2017-01-13,10,4,89
2017-01-13,10,5,73
2017-01-14,1,1,87
2017-01-14,1,2,158
2017-01-14,1,3,127
2017-01-14,1,4,102
2017-01-14,1,5,83
2017-01-14,2,1,78
2017-01-14,2,2,153
2017-01-14,2,3,120
2017-01-14,2,4,102
2017-01-14,2,5,82
2017-01-14,3,1,81
2017-01-14,3,2,156
2017-01-14,3,3,116
2017-01-14,3,4,93
2017-01-14,3,5,72
2017-01-14,4,1,73
2017-01-14,4,2,156
2017-01-14,4,3,126
2017-01-14,4,4,94
2017-01-14,4,5,76
2017-01-14,5,1,76
2017-01-14,5,2,146
2017-01-14,5,3,117
2017-01-14,5,4,91
2017-01-14,5,5,82
2017-01-14,6,1,87
2017-01-14,6,2,144
2017-01-14,6,3,118
2017-01-14,6,4,88
2017-01-14,6,5,64
2017-01-14,7,1,85
2017-01-14,7,2,151
2017-01-14,7,3,121
2017-01-14,7,4,99
2017-01-14,7,5,77
2017-01-14,8,1,80
2017-01-14,8,2,155
2017-01-14,8,3,127
2017-01-14,8,4,93
2017-01-14,8,5,80
2017-01-14,9,1,81
2017-01-14,9,2,151
2017-01-14,9,3,122
2017-01-14,9,4,88
2017-01-14,9,5,74
2017-01-14,10,1,89
2017-01-14,10,2,162
2017-01-14,10,3,130
2017-01-14,10,4,85
2017-01-14,10,5,70
2017-01-15,1,1,76
2017-01-15,1,2,153
2017-01-15,1,3,108
2017-01-15,1,4,89
2017-01-15,1,5,84
2017-01-15,2,1,87
2017-01-15,2,2,150
2017-01-15,2,3,120
2017-01-15,2,4,95
2017-01-15,2,5,82
2017-01-15,3,1,79
2017-01-15,3,2,151
2017-01-15,3,3,119
2017-01-15,3,4,85
2017-01-15,3,5,76
2017-01-15,4,1,81
2017-01-15,4,2,146
2017-01-15,4,3,125
2017-01-15,4,4,94
2017-01-15,4,5,81
2017-01-15,5,1,78
2017-01-15,5,2,142
2017-01-15,5,3,124
2017-01-15,5,4,89
2017-01-15,5,5,73
2017-01-15,6,1,76
2017-01-15,6,2,151
2017-01-15,6,3,130
2017-01-15,6,4,90
2017-01-15,6,5,72
2017-01-15,7,1,85
2017-01-15,7,2,153
2017-01-15,7,3,111
2017-01-15,7,4,95
2017-01-15,7,5,88
2017-01-15,8,1,69
2017-01-15,8,2,146
2017-01-15,8,3,108
2017-01-15,8,4,92
2017-01-15,8,5,82
2017-01-15,9,1,83
2017-01-15,9,2,159
2017-01-15,9,3,126
2017-01-15,9,4,101
2017-01-15,9,5,83
2017-01-15,10,1,80
2017-01-15,10,2,152
2017-01-15,10,3,118
2017-01-15,10,4,91
2017-01-15,10,5,77
2017-01-16,1,1,82
2017-01-16,1,2,159
2017-01-16,1,3,121
2017-01-16,1,4,88
2017-01-16,1,5,73
2017-01-16,2,1,85
2017-01-16,2,2,145
2017-01-16,2,3,121
2017-01-16,2,4,99
2017-01-16,2,5,79
2017-01-16,3,1,82
2017-01-16,3,2,152
2017-01-16,3,3,117
2017-01-16,3,4,88
2017-01-16,3,5,76
2017-01-16,4,1,84
2017-01-16,4,2,157
2017-01-16,4,3,123
2017-01-16,4,4,99
2017-01-16,4,5,85
2017-01-16,5,1,86
2017-01-16,5,2,158
2017-01-16,5,3,117
2017-01-16,5,4,86
2017-01-16,5,5,80
2017-01-16,6,1,76
2017-01-16,6,2,151
2017-01-16,6,3,126
2017-01-16,6,4,99
2017-01-16,6,5,76
2017-01-16,7,1,79
2017-01-16,7,2,154
2017-01-16,7,3,117
2017-01-16,7,4,91
2017-01-16,7,5,77
2017-01-16,8,1,82
2017-01-16,8,2,153
2017-01-16,8,3,118
2017-01-16,8,4,89
2017-01-16,8,5,73
2017-01-16,9,1,74
2017-01-16,9,2,154
2017-01-16,9,3,127
2017-01-16,9,4,96
2017-01-16,9,5,76
2017-01-16,10,1,78
2017-01-16,10,2,156
2017-01-16,10,3,125
2017-01-16,10,4,93
2017-01-16,10,5,86
2017-01-17,1,1,82
2017-01-17,1,2,151
2017-01-17,1,3,120
2017-01-17,1,4,85
2017-01-17,1,5,81
2017-01-17,2,1,82
2017-01-17,2,2,155
2017-01-17,2,3,132
2017-01-17,2,4,90
2017-01-17,2,5,66
2017-01-17,3,1,85
2017-01-17,3,2,153
2017-01-17,3,3,119
2017-01-17,3,4,94
2017-01-17,3,5,81
2017-01-17,4,1,78
2017-01-17,4,2,151
2017-01-17,4,3,130
2017-01-17,4,4,89
2017-01-17,4,5,78
2017-01-17,5,1,69
2017-01-17,5,2,145
2017-01-17,5,3,123
2017-01-17,5,4,99
2017-01-17,5,5,71
2017-01-17,6,1,83
2017-01-17,6,2,151
2017-01-17,6,3,127
2017-01-17,6,4,86
2017-01-17,6,5,80
2017-01-17,7,1,79
2017-01-17,7,2,154
2017-01-17,7,3,123
2017-01-17,7,4,91
2017-01-17,7,5,80
2017-01-17,8,1,83
2017-01-17,8,2,152
2017-01-17,8,3,121
2017-01-17,8,4,93
2017-01-17,8,5,78
2017-01-17,9,1,77
2017-01-17,9,2,151
2017-01-17,9,3,117
2017-01-17,9,4,92
2017-01-17,9,5,74
2017-01-17,10,1,86
2017-01-17,10,2,156
2017-01-17,10,3,118
2017-01-17,10,4,92
2017-01-17,10,5,81
2017-01-18,1,1,82
2017-01-18,1,2,149
2017-01-18,1,3,117
2017-01-18,1,4,97
2017-01-18,1,5,82
2017-01-18,2,1,82
2017-01-18,2,2,156
2017-01-18,2,3,108
2017-01-18,2,4,99
2017-01-18,2,5,77
2017-01-18,3,1,83
2017-01-18,3,2,151
2017-01-18,3,3,130
2017-01-18,3,4,87
2017-01-18,3,5,85
2017-01-18,4,1,85
2017-01-18,4,2,156
2017-01-18,4,3,121
2017-01-18,4,4,86
2017-01-18,4,5,82
2017-01-18,5,1,84
2017-01-18,5,2,159
2017-01-18,5,3,122
2017-01-18,5,4,90
2017-01-18,5,5,84
2017-01-18,6,1,92
2017-01-18,6,2,153
2017-01-18,6,3,119
2017-01-18,6,4,97
2017-01-18,6,5,76
2017-01-18,7,1,86
2017-01-18,7,2,151
2017-01-18,7,3,130
2017-01-18,7,4,89
2017-01-18,7,5,80
2017-01-18,8,1,80
2017-01-18,8,2,151
2017-01-18,8,3,120
2017-01-18,8,4,96
2017-01-18,8,5,82
2017-01-18,9,1,85
2017-01-18,9,2,152
2017-01-18,9,3,123
2017-01-18,9,4,97
2017-01-18,9,5,82
2017-01-18,10,1,69
2017-01-18,10,2,151
2017-01-18,10,3,121
2017-01-18,10,4,96
2017-01-18,10,5,77
2017-01-19,1,1,86
2017-01-19,1,2,147
2017-01-19,1,3,124
2017-01-19,1,4,97
2017-01-19,1,5,70
2017-01-19,2,1,95
2017-01-19,2,2,159
2017-01-19,2,3,123
2017-01-19,2,4,89
2017-01-19,2,5,77
2017-01-19,3,1,83
2017-01-19,3,2,155
2017-01-19,3,3,130
2017-01-19,3,4,90
2017-01-19,3,5,81
2017-01-19,4,1,76
2017-01-19,4,2,151
2017-01-19,4,3,125
2017-01-19,4,4,96
2017-01-19,4,5,74
2017-01-19,5,1,81
2017-01-19,5,2,160
2017-01-19,5,3,129
2017-01-19,5,4,94
2017-01-19,5,5,67
2017-01-19,6,1,95
2017-01-19,6,2,153
2017-01-19,6,3,121
2017-01-19,6,4,90
2017-01-19,6,5,80
2017-01-19,7,1,85
2017-01-19,7,2,157
2017-01-19,7,3,118
2017-01-19,7,4,91
2017-01-19,7,5,88
2017-01-19,8,1,84
2017-01-19,8,2,152
2017-01-19,8,3,118
2017-01-19,8,4,95
2017-01-19,8,5,83
2017-01-19,9,1,87
2017-01-19,9,2,151
2017-01-19,9,3,125
2017-01-19,9,4,101
2017-01-19,9,5,83
2017-01-19,10,1,79
2017-01-19,10,2,140
2017-01-19,10,3,124
2017-01-19,10,4,97
2017-01-19,10,5,72
2017-01-20,1,1,83
2017-01-20,1,2,152
2017-01-20,1,3,123
2017-01-20,1,4,90
2017-01-20,1,5,84
2017-01-20,2,1,84
2017-01-20,2,2,148
2017-01-20,2,3,127
2017-01-20,2,4,87
2017-01-20,2,5,84
2017-01-20,3,1,88
2017-01-20,3,2,160
2017-01-20,3,3,122
2017-01-20,3,4,90
2017-01-20,3,5,78
2017-01-20,4,1,82
2017-01-20,4,2,150
2017-01-20,4,3,120
2017-01-20,4,4,91
2017-01-20,4,5,72
2017-01-20,5,1,86
2017-01-20,5,2,153
2017-01-20,5,3,121
2017-01-20,5,4,87
2017-01-20,5,5,72
2017-01-20,6,1,93
2017-01-20,6,2,150
2017-01-20,6,3,126
2017-01-20,6,4,94
2017-01-20,6,5,64
2017-01-20,7,1,92
2017-01-20,7,2,156
2017-01-20,7,3,119
2017-01-20,7,4,93
2017-01-20,7,5,72
2017-01-20,8,1,92
2017-01-20,8,2,148
2017-01-20,8,3,120
2017-01-20,8,4,89
2017-01-20,8,5,78
2017-01-20,9,1,90
2017-01-20,9,2,162
2017-01-20,9,3,121
2017-01-20,9,4,95
2017-01-20,9,5,78
2017-01-20,10,1,78
2017-01-20,10,2,165
2017-01-20,10,3,130
2017-01-20,10,4,94
2017-01-20,10,5,86
2017-01-21,1,1,89
2017-01-21,1,2,153
2017-01-21,1,3,125
2017-01-21,1,4,101
2017-01-21,1,5,73
2017-01-21,2,1,91
2017-01-21,2,2,152
2017-01-21,2,3,131
2017-01-21,2,4,93
2017-01-21,2,5,80
2017-01-21,3,1,83
2017-01-21,3,2,150
2017-01-21,3,3,122
2017-01-21,3,4,100
2017-01-21,3,5,66
2017-01-21,4,1,77
2017-01-21,4,2,149
2017-01-21,4,3,118
2017-01-21,4,4,101
2017-01-21,4,5,84
2017-01-21,5,1,86
2017-01-21,5,2,150
2017-01-21,5,3,130
2017-01-21,5,4,85
2017-01-21,5,5,89
2017-01-21,6,1,80
2017-01-21,6,2,152
2017-01-21,6,3,121
2017-01-21,6,4,88
2017-01-21,6,5,88
2017-01-21,7,1,87
2017-01-21,7,2,159
2017-01-21,7,3,117
2017-01-21,7,4,94
2017-01-21,7,5,81
2017-01-21,8,1,84
2017-01-21,8,2,147
2017-01-21,8,3,128
2017-01-21,8,4,94
2017-01-21,8,5,73
2017-01-21,9,1,74
2017-01-21,9,2,156
2017-01-21,9,3,135
2017-01-21,9,4,88
2017-01-21,9,5,79
2017-01-21,10,1,89
2017-01-21,10,2,147
2017-01-21,10,3,121
2017-01-21,10,4,89
2017-01-21,10,5,83
2017-01-22,1,1,90
2017-01-22,1,2,154
2017-01-22,1,3,119
2017-01-22,1,4,91
2017-01-22,1,5,75
2017-01-22,2,1,78
2017-01-22,2,2,153
2017-01-22,2,3,126
2017-01-22,2,4,96
2017-01-22,2,5,78
2017-01-22,3,1,83
2017-01-22,3,2,153
2017-01-22,3,3,117
2017-01-22,3,4,94
2017-01-22,3,5,75
2017-01-22,4,1,76
2017-01-22,4,2,155
2017-01-22,4,3,120
2017-01-22,4,4,94
2017-01-22,4,5,82
2017-01-22,5,1,78
2017-01-22,5,2,154
2017-01-22,5,3,114
2017-01-22,5,4,101
2017-01-22,5,5,71
